"vramHash1",  "vramHash2",  "title",              "dmaFix", "comment"
"0xe3988e9c", "0x346135b7", "BEAVIS & BUTTH",     "0x0000", "Beavis and Butt-Head (USA, Europe)"
"0xf96ce60c", "0x7a44aedc", "BEETHOVEN",          "0x0000", "Beethoven (Europe)"
"0x7131a2c5", "0xbd585223", "BEETLEJUICE",        "0x0000", "Beetlejuice (USA)"
"0x4ec13550", "0xd24d3e7f", "BERUTOMOKURABU",     "0x0000", "Nikkan Berutomo Club (Japan)"
"0x97430eca", "0x13ac9560", "BEST OF THE BE",     "0x0000", "Best of the Best - Championship Karate (USA)"
"0xb790e60c", "0xc3d43c4e", "BEST OF THE BE",     "0x0000", "Best of the Best - Championship Karate (Europe)"
"0x3d0a6e2f", "0x15dcb77f", "BIG WAVE SOCCE",     "0x0000", "J.League Big Wave Soccer (Japan)"
"0xc346f65b", "0x653b3167", "BIKKURI NEKKET",     "0x0000", "Bikkuri Nekketsu Shin Kiroku! - Dokodemo Kin Medal (Japan)"
"0x0372efa1", "0xa009e485", "BILL AND TED",       "0x0000", "Bill & Ted's Excellent Game Boy Adventure (USA, Europe)"
"0xed13854f", "0x651d9376", "BIONIC BATTLER",     "0x0000", "Bionic Battler (USA)"
"0x12058fe0", "0x294ba9f0", "BIONIC-COMMAND",     "0x0000", "Bionic Commando (Japan)"
"0x1297af19", "0x34804b13", "BIONIC-COMMAND",     "0x0000", "Bionic Commando (Europe), Bionic Commando (USA)"
"0x32584c84", "0x68e687b4", "BISHOJYOSENSI ",     "0x0000", "Bishoujo Senshi Sailor Moon (Japan)"
"0x63f13401", "0xa112615e", "BLADES OF STEE",     "0x0000", "Blades of Steel (USA)"
"0x6f4cf4ba", "0x9dd92fae", "BLADES OF STEE",     "0x0000", "Blades of Steel (Europe)"
"0xa4f9ab3f", "0x4f13defb", "BLODIA",             "0x0000", "Blodia (Japan)"
"0xe60d832d", "0xff30e20e", "BLUES BROTHERS",     "0x0000", "Blues Brothers, The (USA, Europe)"
"0x4aba1bcc", "0xcfad5319", "BO JACKSON",         "0x0000", "Bo Jackson - Two Games in One (USA)"
"0x7823678b", "0x1b9e461a", "BOGGLE PLUS",        "0x0000", "Boggle Plus (USA)"
"0x98073350", "0x23d190fc", "BOKU DRACURA K",     "0x0000", "Akumajou Special - Boku Dracula-kun (Japan)"
"0xcdb0041d", "0x1bd146ea", "BOKUJOU GB",         "0x0000", "Bokujou Monogatari GB (Japan) (Rev AB), Bokujou Monogatari GB (Japan)"
"0x0c05fa7a", "0x76b7a823", "BOMB JACK",          "0x0000", "Bomb Jack (Europe)"
"0x78f6ed44", "0x246f56b2", "BOMBER BOY",         "0x0000", "Bomber Boy (Japan)"
"0x35a6e71c", "0x66dbec5a", "BOMBER MAN GB",      "0x0000", "Bomberman GB (USA, Europe)"
"0x35a6e3d4", "0x66a4bd3e", "BOMBER MAN GB ",     "0x0000", "Bomber Man GB 2 (Japan)"
"0xe6a9712b", "0xe50c975b", "BOMBERMAN GB",       "0x0000", "Bomber Man GB (Japan)"
"0x15107c20", "0x24a0975a", "BOMBERMAN GB3",      "0x0000", "Bomber Man GB 3 (Japan)"
"0x9f3e1294", "0xccbc1b95", "BOMCOL",             "0x0000", "Bomber Man Collection (Japan)"
"0x849b8b0f", "0x05edca37", "BONK'S ADVENTU",     "0x0000", "Bonk's Adventure (USA)"
"0xce55d575", "0x32c765e8", "BONKSREVENGE",       "0x0000", "Bonk's Revenge (USA)"
"0x965df5c2", "0x656cc596", "BOOBY BOYS",         "0x0000", "Booby Boys (Japan)"
"0x16150dcd", "0xdd86ba50", "BOUKENJIMA2",        "0x0000", "Takahashi Meijin no Bouken-jima II (Japan)"
"0x149a28f0", "0x0c748280", "BOUKENJIMA3",        "0x0000", "Takahashi Meijin no Bouken-jima III (Japan)"
"0x78c71739", "0x187b66e7", "BOULDER DASH",       "0x0000", "Boulder Dash (Europe)"
"0xf21674c7", "0x1fa41c9a", "BOULDER DASH",       "0x0000", "Boulder Dash (Japan)"
"0xe962808b", "0xc6719093", "BOXING",             "0x0000", "Boxing (Japan)"
